Full_Name,Year,Citation,spherical_cluster,topic_keywords,hdbscan_cluster,agglomerative_cluster,tsne_x,tsne_y,umap_x,umap_y,ACM Fellow Profile,DBLP profile,Google Scholar Profile,Affiliation
Ahmed E. Hassan,2022,For contributions to the quality assurance of large scale software systems,3,"software, contributions, engineering, testing, community, analysis",-1,7,16.226273,-9.885246,1.7030863,5.878494,https://awards.acm.org/award-recipients/hassan_3864774,https://dblp.org/pid/161/8687,https://scholar.google.com/citations?user=9hwXx34AAAAJ,"ACM Fellow, IEEE Fellow, NSERC Steacie Fellow, ACM Influential/IEEE Distinguished …"
Alex Pothen,2022,For contributions to and leadership in combinatorial scientific computing,1,"contributions, algorithms, complexity, computational, theory, geometry",-1,4,-17.556498,-23.106867,6.865789,5.0735493,https://awards.acm.org/award-recipients/pothen_5005655,https://dblp.org/pid/03/854,https://scholar.google.com/citations?user=_Fah5fwAAAAJ,"Professor of Computer Science, Purdue University"
Alfons Kemper,2022,For contributions to database management system technology,6,"database, contributions, data, systems, management, databases",0,0,-3.0852036,-33.066013,4.618525,5.2228813,https://awards.acm.org/award-recipients/kemper_4001152,https://dblp.org/pid/k/AlfonsKemper,,
Anima Anandkumar,2022,For contributions to tensor methods for probabilistic models and neural operators,12,"contributions, learning, mining, natural, machine, data",-1,14,-25.386549,-21.993063,6.6498337,5.521967,https://awards.acm.org/award-recipients/anandkumar_6110403,https://dblp.org/pid/25/1529,https://scholar.google.com/citations?user=bEcLezcAAAAJ,California Institute of Technology and NVIDIA
Ashutosh Sabharwal,2022,For the invention of full-duplex wireless and open-source wireless research platforms,13,"wireless, contributions, mobile, systems, networks, computing",-1,11,28.595642,35.45918,5.1268306,1.2850078,https://awards.acm.org/award-recipients/sabharwal_6171395,https://dblp.org/pid/45/284,https://scholar.google.com/citations?user=MiqMO-kAAAAJ,"Department Chair and Ernest D. Butcher Professor, Department of Electrical and Computer …"
Bill Curtis,2022,"For contributions to software process,  software measurement, and human factors in software engineering",3,"software, contributions, engineering, testing, community, analysis",-1,7,12.840795,-13.659379,1.9687063,6.214216,https://awards.acm.org/award-recipients/curtis_1822345,https://dblp.org/pid/125/0425,https://scholar.google.com/citations?user=D5IKxV8AAAAJ,CAST Software
Boaz Barak,2022,"For contributions to theoretical computer science, in particular cryptography and computational complexity, and service to the theory community",1,"contributions, algorithms, complexity, computational, theory, geometry",-1,6,-5.670032,-8.436783,6.12803,4.41352,https://awards.acm.org/award-recipients/barak_5889067,https://dblp.org/pid/b/BBarak,https://scholar.google.com/citations?user=I0fbJ6cAAAAJ,Harvard University
Bronis R. de Supinski,2022,For contributions to the design of large-scale systems and their programming systems and software,7,"contributions, parallel, distributed, computing, systems, performance",-1,2,18.628815,4.1989293,3.4901094,4.215545,https://awards.acm.org/award-recipients/desupinski_4862751,https://dblp.org/pid/85/5840,https://scholar.google.com/citations?user=iuEBM58AAAAJ,Lawrence Livermore National Laboratory
Chung C Kuo,2022,"For contributions to technologies, applications, and mentorship in visual computing",10,"human, interaction, contributions, computer, computing, design",-1,18,-22.197685,18.877113,4.0696034,6.9098907,https://awards.acm.org/award-recipients/kuo_3398864,https://dblp.org/pid/32/1320,https://scholar.google.com/citations?user=7zNrjLsAAAAJ,"Distinguished Professor, National Taiwan University of Science & Technology"
Constantinos Daskalakis,2022,"For fundamental contributions to algorithmic game theory, mechanism design, sublinear algorithms and theoretical machine learning",1,"contributions, algorithms, complexity, computational, theory, geometry",-1,3,-16.30531,-12.157232,6.96418,4.7538123,https://awards.acm.org/award-recipients/daskalakis_4121823,https://dblp.org/pid/d/ConstantinosDaskalakis,https://scholar.google.com/citations?user=iTv2cOgAAAAJ,"Professor of Computer Science, MIT"
Corinna Cortes,2022,"For theoretical and practical contributions to machine learning, industrial leadership, and service to the field",5,"contributions, reasoning, artificial, intelligence, systems, verification",-1,6,-29.847715,-23.77138,5.342788,6.4259915,https://awards.acm.org/award-recipients/cortes_5490222,https://dblp.org/pid/77/5783,https://scholar.google.com/citations?user=U_IVY50AAAAJ,"Google Research, NY"
Craig Gotsman,2022,"For contributions to computer graphics, geometry processing, and visual computing",0,"vision, contributions, computer, graphics, image, geometry",1,4,-40.597534,-3.3658295,8.696099,6.1125236,https://awards.acm.org/award-recipients/gotsman_3554902,https://dblp.org/pid/99/3488,https://scholar.google.com/citations?user=0JRBzUEAAAAJ,"Distinguished Professor and Dean, Ying Wu College of Computing, NJIT"
David M Mount,2022,For contributions to algorithms and data structures for geometric data analysis and retrieval,1,"contributions, algorithms, complexity, computational, theory, geometry",-1,4,-35.820873,-9.272243,7.8453603,5.351548,https://awards.acm.org/award-recipients/mount_2204550,https://dblp.org/pid/m/DavidMMount,https://scholar.google.com/citations?user=v6PsQKIAAAAJ,"Professor of Computer Science, University of Maryland"
Denis Zorin,2022,"For contributions to computer graphics, geometry processing, and scientific 
computing",0,"vision, contributions, computer, graphics, image, geometry",-1,4,-39.213783,-3.5645661,8.300872,5.672099,https://awards.acm.org/award-recipients/zorin_5054197,https://dblp.org/pid/21/2496,https://scholar.google.com/citations?user=cagVT0AAAAAJ,"Professor of Computer Science and Mathematics, Courant Institute, NYU"
Dong Yu,2022,For contributions in speech processing and deep learning applications,12,"contributions, learning, mining, natural, machine, data",-1,16,-31.833822,-19.616089,7.0274343,7.273795,https://awards.acm.org/award-recipients/yu_7075850,https://dblp.org/pid/36/4716,https://scholar.google.com/citations?user=tMY31_gAAAAJ,"Distinguished Scientist @ Tencent AI Lab, ACM/IEEE/ISCA Fellow"
Ed H. Chi,2022,For contributions to machine learning and data mining techniques for social computing and recommender systems,12,"contributions, learning, mining, natural, machine, data",-1,10,-23.106794,13.19736,6.5395885,6.7450123,https://awards.acm.org/award-recipients/chi_4183398,https://dblp.org/pid/99/10276,https://scholar.google.com/citations?user=VuWl-KUAAAAJ,Google Research / Google Brain
Farinaz Koushanfar,2022,For contributions to secure computing and privacy-preserving machine learning,2,"contributions, privacy, cryptography, security, systems, computer",-1,14,6.181678,-8.946425,6.579132,3.454654,https://awards.acm.org/award-recipients/koushanfar_2784014,https://dblp.org/pid/k/FarinazKoushanfar,https://scholar.google.com/citations?user=3XnMVUAAAAAJ,"Professor and Henry Booker Faculty Scholar of ECE, UC San Diego"
Hang Li,2022,For contributions to machine learning for search and dialogue,12,"contributions, learning, mining, natural, machine, data",-1,16,-29.694536,-37.67896,6.888969,7.4791627,https://awards.acm.org/award-recipients/li_5842974,https://dblp.org/pid/203/8146,https://scholar.google.com/citations?user=_ZYl_aIAAAAJ,Harvard Medical School  / MGH
Michael W Hicks,2022,"For contributions to programming language design and implementation, program analysis, and software security.",4,"programming, contributions, languages, language, program, compilers",-1,18,31.936068,-14.232055,2.023362,4.6575427,https://awards.acm.org/award-recipients/hicks_UI16381,https://dblp.org/pid/h/MichaelWHicks,https://scholar.google.com/citations?user=Gggzp7UAAAAJ,"Senior Principal Scientist, AWS, and Professor Emeritus, UMD"
Eric Xing,2022,"For contributions to algorithms, architectures, and applications in machine learning",12,"contributions, learning, mining, natural, machine, data",-1,10,-29.156048,-20.408842,6.7071643,5.8022614,https://awards.acm.org/award-recipients/xing_9708021,https://dblp.org/pid/36/3855,https://scholar.google.com/citations?user=5pKTRxEAAAAJ,"President at Mohamed bin Zayed University of AI, Professor of Computer Science, Carnegie …"
Gary J. Sullivan,2022,For contributions to video and image compression and leadership in its standardization,0,"vision, contributions, computer, graphics, image, geometry",-1,15,-51.604015,6.1174893,8.782812,6.98658,https://awards.acm.org/award-recipients/sullivan_4760472,https://dblp.org/pid/77/3125,https://scholar.google.com/citations?user=5g5a1SgAAAAJ,"Video & Image Technology Architect, Microsoft Corporation"
Gonzalo Navarro,2022,For theoretical and practical contributions to the fields of text searching and compact data structures,12,"contributions, learning, mining, natural, machine, data",-1,0,-25.673557,-30.26081,6.7322555,6.972215,https://awards.acm.org/award-recipients/navarro_UI58921,https://dblp.org/pid/n/GonzaloNavarro,https://scholar.google.com/citations?user=_fx52FkAAAAJ,University of Chile
Haitao Zheng,2022,For contributions to wireless networking and mobile computing,13,"wireless, contributions, mobile, systems, networks, computing",-1,11,26.859066,32.85114,5.0989175,1.4292703,https://awards.acm.org/award-recipients/zheng_5064513,https://dblp.org/pid/20/134-2,https://scholar.google.com/citations?user=XrIr0nYAAAAJ,"Neubauer Professor of Computer Science, University of Chicago"
Hiroshi Ishii,2022,For contributions to tangible user interfaces and to human-computer interaction,10,"human, interaction, contributions, computer, computing, design",-1,5,-37.228275,11.543552,6.025503,8.077239,https://awards.acm.org/award-recipients/ishii_3185337,https://dblp.org/pid/45/2605-1,https://scholar.google.com/citations?user=wS0qP_MAAAAJ,"Jerome B. Wiesner Professor of Media Arts and Sciences, Associate Director of MIT Media …"
Hong Mei,2022,"For contributions to software engineering research and translation, and establishing  research standards in China",3,"software, contributions, engineering, testing, community, analysis",-1,7,12.875512,-20.000446,2.238817,6.164689,https://awards.acm.org/award-recipients/mei_8736937,https://dblp.org/pid/59/8480,https://scholar.google.com/citations?user=RU3rpYsAAAAJ,University of Hong Kong
Jaime Teevan,2022,"For contributions to human-computer interaction, information retrieval, and productivity",10,"human, interaction, contributions, computer, computing, design",-1,0,-32.55676,12.911658,6.3672705,7.6837783,https://awards.acm.org/award-recipients/teevan_3995073,https://dblp.org/pid/38/129,https://scholar.google.com/citations?user=F5Ik84MAAAAJ,"Chief Scientist & Technical Fellow, Microsoft"
Jason Hong,2022,For contributions to ubiquitous computing and to usable privacy and security,2,"contributions, privacy, cryptography, security, systems, computer",-1,12,7.176308,-2.427737,5.127101,1.7513252,https://awards.acm.org/award-recipients/hong_4784823,https://dblp.org/pid/98/4249,https://scholar.google.com/citations?user=MoFbcc0AAAAJ,Carnegie Mellon University
John Stasko,2022,"For contributions to the design, analysis, usage, and evaluation of software and information visualization",3,"software, contributions, engineering, testing, community, analysis",-1,7,-42.018124,10.120078,3.959929,5.8917627,https://awards.acm.org/award-recipients/stasko_2936201,https://dblp.org/pid/s/JohnTStasko,https://scholar.google.com/citations?user=2PxFftgAAAAJ,"Regents Professor of Interactive Computing, Georgia Institute of Technology"
Kalyanmoy Deb,2022,For technical contributions in evolutionary  multi-objective optimization algorithms and multi-criterion decision support,5,"contributions, reasoning, artificial, intelligence, systems, verification",-1,10,-16.183348,-21.467505,6.9231186,5.4074864,https://awards.acm.org/award-recipients/deb_9497348,https://dblp.org/pid/21/4802,https://scholar.google.com/citations?user=paTAXiIAAAAJ,"Koenig Endowed Chair Professor, Electrical and Computer Engineering, Michigan State …"
Kentaro Toyama,2022,For contributions to the innovation and critique of digital technology for socio-economic development and social justice,10,"human, interaction, contributions, computer, computing, design",-1,18,-31.357328,25.552385,5.045874,7.601228,https://awards.acm.org/award-recipients/toyama_4938668,https://dblp.org/pid/24/1434,https://scholar.google.com/citations?user=JdxjEQIAAAAJ,"University of Michigan, School of Information"
Kevin Fu,2022,"""For contributions to computer security, and especially to the secure engineering of medical devices.""",2,"contributions, privacy, cryptography, security, systems, computer",-1,12,1.3166102,13.709593,6.5465107,2.9638097,https://awards.acm.org/award-recipients/fu_4063954,https://dblp.org/pid/304/1941,https://scholar.google.com/citations?user=8uK6aCEAAAAJ,"Professor, Northeastern University, ECE and Khoury College of Computer Sciences"
Luis H Ceze,2022,For contributions to developing new architectures and programming systems for emerging applications and computing technologies,8,"contributions, design, memory, computer, architecture, systems",-1,18,19.434046,0.66952366,3.148326,5.2376127,https://awards.acm.org/award-recipients/ceze_7000466,,,
Maneesh Agrawala,2022,"For contributions to visual communication through computer graphics, human-computer interaction, and information visualization",10,"human, interaction, contributions, computer, computing, design",-1,4,-38.087555,11.396052,6.1387687,8.097798,https://awards.acm.org/award-recipients/agrawala_4314621,https://dblp.org/pid/64/2431,https://scholar.google.com/citations?user=YPzKczYAAAAJ,Stanford University
