x,y,cluster,keywords,citation,full_name,year
16.226273,-9.885246,2,"contributions, software, programming, languages, verification, systems",For contributions to the quality assurance of large scale software systems,Ahmed E. Hassan,2022
-17.556498,-23.106867,5,"contributions, algorithms, theory, complexity, computational, design",For contributions to and leadership in combinatorial scientific computing,Alex Pothen,2022
-3.0852036,-33.066013,4,"contributions, database, data, management, systems, query",For contributions to database management system technology,Alfons Kemper,2022
-25.386549,-21.993063,7,"contributions, learning, intelligence, artificial, mining, machine",For contributions to tensor methods for probabilistic models and neural operators,Anima Anandkumar,2022
28.595642,35.45918,1,"contributions, systems, wireless, internet, networks, distributed",For the invention of full-duplex wireless and open-source wireless research platforms,Ashutosh Sabharwal,2022
12.840795,-13.659379,8,"human, contributions, interaction, computer, computing, design","For contributions to software process,  software measurement, and human factors in software engineering",Bill Curtis,2022
-5.670032,-8.436783,5,"contributions, algorithms, theory, complexity, computational, design","For contributions to theoretical computer science, in particular cryptography and computational complexity, and service to the theory community",Boaz Barak,2022
18.628815,4.1989293,6,"contributions, parallel, computing, memory, performance, design",For contributions to the design of large-scale systems and their programming systems and software,Bronis R. de Supinski,2022
-22.197685,18.877113,8,"human, contributions, interaction, computer, computing, design","For contributions to technologies, applications, and mentorship in visual computing",Chung C Kuo,2022
-16.30531,-12.157232,5,"contributions, algorithms, theory, complexity, computational, design","For fundamental contributions to algorithmic game theory, mechanism design, sublinear algorithms and theoretical machine learning",Constantinos Daskalakis,2022
-29.847715,-23.77138,7,"contributions, learning, intelligence, artificial, mining, machine","For theoretical and practical contributions to machine learning, industrial leadership, and service to the field",Corinna Cortes,2022
-40.597534,-3.3658295,9,"contributions, vision, computer, graphics, geometry, robotics","For contributions to computer graphics, geometry processing, and visual computing",Craig Gotsman,2022
-35.820873,-9.272243,5,"contributions, algorithms, theory, complexity, computational, design",For contributions to algorithms and data structures for geometric data analysis and retrieval,David M Mount,2022
-39.213783,-3.5645661,9,"contributions, vision, computer, graphics, geometry, robotics","For contributions to computer graphics, geometry processing, and scientific 
computing",Denis Zorin,2022
-31.833822,-19.616089,7,"contributions, learning, intelligence, artificial, mining, machine",For contributions in speech processing and deep learning applications,Dong Yu,2022
-23.106794,13.19736,7,"contributions, learning, intelligence, artificial, mining, machine",For contributions to machine learning and data mining techniques for social computing and recommender systems,Ed H. Chi,2022
6.181678,-8.946425,0,"security, contributions, privacy, cryptography, systems, internet",For contributions to secure computing and privacy-preserving machine learning,Farinaz Koushanfar,2022
-29.694536,-37.67896,7,"contributions, learning, intelligence, artificial, mining, machine",For contributions to machine learning for search and dialogue,Hang Li,2022
31.936068,-14.232055,2,"contributions, software, programming, languages, verification, systems","For contributions to programming language design and implementation, program analysis, and software security.",Michael W Hicks,2022
-29.156048,-20.408842,5,"contributions, algorithms, theory, complexity, computational, design","For contributions to algorithms, architectures, and applications in machine learning",Eric Xing,2022
-51.604015,6.1174893,9,"contributions, vision, computer, graphics, geometry, robotics",For contributions to video and image compression and leadership in its standardization,Gary J. Sullivan,2022
-25.673557,-30.26081,4,"contributions, database, data, management, systems, query",For theoretical and practical contributions to the fields of text searching and compact data structures,Gonzalo Navarro,2022
26.859066,32.85114,1,"contributions, systems, wireless, internet, networks, distributed",For contributions to wireless networking and mobile computing,Haitao Zheng,2022
-37.228275,11.543552,8,"human, contributions, interaction, computer, computing, design",For contributions to tangible user interfaces and to human-computer interaction,Hiroshi Ishii,2022
12.875512,-20.000446,2,"contributions, software, programming, languages, verification, systems","For contributions to software engineering research and translation, and establishing  research standards in China",Hong Mei,2022
-32.55676,12.911658,8,"human, contributions, interaction, computer, computing, design","For contributions to human-computer interaction, information retrieval, and productivity",Jaime Teevan,2022
7.176308,-2.427737,0,"security, contributions, privacy, cryptography, systems, internet",For contributions to ubiquitous computing and to usable privacy and security,Jason Hong,2022
-42.018124,10.120078,8,"human, contributions, interaction, computer, computing, design","For contributions to the design, analysis, usage, and evaluation of software and information visualization",John Stasko,2022
-16.183348,-21.467505,5,"contributions, algorithms, theory, complexity, computational, design",For technical contributions in evolutionary  multi-objective optimization algorithms and multi-criterion decision support,Kalyanmoy Deb,2022
-31.357328,25.552385,8,"human, contributions, interaction, computer, computing, design",For contributions to the innovation and critique of digital technology for socio-economic development and social justice,Kentaro Toyama,2022
1.3166102,13.709593,0,"security, contributions, privacy, cryptography, systems, internet","""For contributions to computer security, and especially to the secure engineering of medical devices.""",Kevin Fu,2022
19.434046,0.66952366,6,"contributions, parallel, computing, memory, performance, design",For contributions to developing new architectures and programming systems for emerging applications and computing technologies,Luis H Ceze,2022
