x,y,cluster,keywords,citation,full_name,year
1.7030863,5.878494,2,"contributions, software, programming, languages, verification, systems",For contributions to the quality assurance of large scale software systems,Ahmed E. Hassan,2022
6.865789,5.0735493,5,"contributions, algorithms, theory, complexity, computational, design",For contributions to and leadership in combinatorial scientific computing,Alex Pothen,2022
4.618525,5.2228813,4,"contributions, database, data, management, systems, query",For contributions to database management system technology,Alfons Kemper,2022
6.6498337,5.521967,7,"contributions, learning, intelligence, artificial, mining, machine",For contributions to tensor methods for probabilistic models and neural operators,Anima Anandkumar,2022
5.1268306,1.2850078,1,"contributions, systems, wireless, internet, networks, distributed",For the invention of full-duplex wireless and open-source wireless research platforms,Ashutosh Sabharwal,2022
1.9687063,6.214216,8,"human, contributions, interaction, computer, computing, design","For contributions to software process,  software measurement, and human factors in software engineering",Bill Curtis,2022
6.12803,4.41352,5,"contributions, algorithms, theory, complexity, computational, design","For contributions to theoretical computer science, in particular cryptography and computational complexity, and service to the theory community",Boaz Barak,2022
3.4901094,4.215545,6,"contributions, parallel, computing, memory, performance, design",For contributions to the design of large-scale systems and their programming systems and software,Bronis R. de Supinski,2022
4.0696034,6.9098907,8,"human, contributions, interaction, computer, computing, design","For contributions to technologies, applications, and mentorship in visual computing",Chung C Kuo,2022
6.96418,4.7538123,5,"contributions, algorithms, theory, complexity, computational, design","For fundamental contributions to algorithmic game theory, mechanism design, sublinear algorithms and theoretical machine learning",Constantinos Daskalakis,2022
5.342788,6.4259915,7,"contributions, learning, intelligence, artificial, mining, machine","For theoretical and practical contributions to machine learning, industrial leadership, and service to the field",Corinna Cortes,2022
8.696099,6.1125236,9,"contributions, vision, computer, graphics, geometry, robotics","For contributions to computer graphics, geometry processing, and visual computing",Craig Gotsman,2022
7.8453603,5.351548,5,"contributions, algorithms, theory, complexity, computational, design",For contributions to algorithms and data structures for geometric data analysis and retrieval,David M Mount,2022
8.300872,5.672099,9,"contributions, vision, computer, graphics, geometry, robotics","For contributions to computer graphics, geometry processing, and scientific 
computing",Denis Zorin,2022
7.0274343,7.273795,7,"contributions, learning, intelligence, artificial, mining, machine",For contributions in speech processing and deep learning applications,Dong Yu,2022
6.5395885,6.7450123,7,"contributions, learning, intelligence, artificial, mining, machine",For contributions to machine learning and data mining techniques for social computing and recommender systems,Ed H. Chi,2022
6.579132,3.454654,0,"security, contributions, privacy, cryptography, systems, internet",For contributions to secure computing and privacy-preserving machine learning,Farinaz Koushanfar,2022
6.888969,7.4791627,7,"contributions, learning, intelligence, artificial, mining, machine",For contributions to machine learning for search and dialogue,Hang Li,2022
2.023362,4.6575427,2,"contributions, software, programming, languages, verification, systems","For contributions to programming language design and implementation, program analysis, and software security.",Michael W Hicks,2022
6.7071643,5.8022614,5,"contributions, algorithms, theory, complexity, computational, design","For contributions to algorithms, architectures, and applications in machine learning",Eric Xing,2022
8.782812,6.98658,9,"contributions, vision, computer, graphics, geometry, robotics",For contributions to video and image compression and leadership in its standardization,Gary J. Sullivan,2022
6.7322555,6.972215,4,"contributions, database, data, management, systems, query",For theoretical and practical contributions to the fields of text searching and compact data structures,Gonzalo Navarro,2022
5.0989175,1.4292703,1,"contributions, systems, wireless, internet, networks, distributed",For contributions to wireless networking and mobile computing,Haitao Zheng,2022
6.025503,8.077239,8,"human, contributions, interaction, computer, computing, design",For contributions to tangible user interfaces and to human-computer interaction,Hiroshi Ishii,2022
2.238817,6.164689,2,"contributions, software, programming, languages, verification, systems","For contributions to software engineering research and translation, and establishing  research standards in China",Hong Mei,2022
6.3672705,7.6837783,8,"human, contributions, interaction, computer, computing, design","For contributions to human-computer interaction, information retrieval, and productivity",Jaime Teevan,2022
5.127101,1.7513252,0,"security, contributions, privacy, cryptography, systems, internet",For contributions to ubiquitous computing and to usable privacy and security,Jason Hong,2022
3.959929,5.8917627,8,"human, contributions, interaction, computer, computing, design","For contributions to the design, analysis, usage, and evaluation of software and information visualization",John Stasko,2022
6.9231186,5.4074864,5,"contributions, algorithms, theory, complexity, computational, design",For technical contributions in evolutionary  multi-objective optimization algorithms and multi-criterion decision support,Kalyanmoy Deb,2022
5.045874,7.601228,8,"human, contributions, interaction, computer, computing, design",For contributions to the innovation and critique of digital technology for socio-economic development and social justice,Kentaro Toyama,2022
6.5465107,2.9638097,0,"security, contributions, privacy, cryptography, systems, internet","""For contributions to computer security, and especially to the secure engineering of medical devices.""",Kevin Fu,2022
3.148326,5.2376127,6,"contributions, parallel, computing, memory, performance, design",For contributions to developing new architectures and programming systems for emerging applications and computing technologies,Luis H Ceze,2022
6.1387687,8.097798,8,"human, contributions, interaction, computer, computing, design","For contributions to visual communication through computer graphics, human-computer interaction, and information visualization",Maneesh Agrawala,2022
1.8341872,4.6666837,2,"contributions, software, programming, languages, verification, systems","For contributions to program analysis, verification, parallelism, logic programming, and the IMDEA Software Institute",Manuel V Hermenegildo,2022
8.952574,6.8222,9,"contributions, vision, computer, graphics, geometry, robotics","For contributions to geometric computer vision and applications to AR/VR/MR, robotics, and autonomous vehicles",Marc Pollefeys,2022
6.0747123,8.179801,8,"human, contributions, interaction, computer, computing, design","For contributions to human-computer interaction, instrumental interaction and generative theory, and community leadership",Michel Beaudouin-Lafon,2022
6.6053677,5.785002,7,"contributions, learning, intelligence, artificial, mining, machine","For contributions to machine learning research for imbalanced data, graphs, and interdisciplinary innovations",Nitesh Chawla,2022
4.463711,4.4741125,6,"contributions, parallel, computing, memory, performance, design","For contributions to the design of columnar, main-memory, and vectorized database systems",Peter Boncz,2022
3.2695608,3.2765958,6,"contributions, parallel, computing, memory, performance, design",For contributions to memory hierarchy design,Moinuddin Qureshi,2022
3.6327455,2.3058934,6,"contributions, parallel, computing, memory, performance, design",For contributions to the design of high-performance integrated systems and ultra-low power edge circuits and architectures,David Atienza Alonso,2022
3.7088263,2.396361,6,"contributions, parallel, computing, memory, performance, design",For contributions to hardware/software co-design of power and thermal efficient embedded computing,Joerg Henkel,2022
6.916448,5.4464965,5,"contributions, algorithms, theory, complexity, computational, design",For contributions to algorithm design with real-world implications and for mentoring and community-building,Samir Khuller,2022
9.092842,6.8915567,9,"contributions, vision, computer, graphics, geometry, robotics",For contributions to the foundations and applications of visual geometry and visual representations learning,Stefano Soatto,2022
4.473645,1.5384207,1,"contributions, systems, wireless, internet, networks, distributed",For contributions to low-power and communication-based design of embedded systems,Radu Marculescu,2022
6.9835486,3.389519,0,"security, contributions, privacy, cryptography, systems, internet",For contributions to the foundations of cryptography,Rafael Pass,2022
5.0817833,1.3232132,1,"contributions, systems, wireless, internet, networks, distributed",For contributions to software-defined wireless networking and applications to agriculture and rural broadband,Ranveer Chandra,2022
9.048965,7.0854564,9,"contributions, vision, computer, graphics, geometry, robotics",For contributions to subspace clustering and motion segmentation in computer vision,Rene Vidal,2022
6.802589,4.089115,5,"contributions, algorithms, theory, complexity, computational, design",For contributions to the theory of online algorithms and quantum complexity theory,Sandy Irani,2022
7.988605,6.2824445,2,"contributions, software, programming, languages, verification, systems",For contributions to the analysis and testing of evolving systems and robotic systems,Sebastian Elbaum,2022
4.930255,1.5063492,1,"contributions, systems, wireless, internet, networks, distributed","For contributions to mobile and pervasive computing, and their applications in graceful aging and accessibility",Sumi Helal,2022
6.331282,2.4503496,0,"security, contributions, privacy, cryptography, systems, internet",For contributions to computer system security and performance analysis,Tim Sherwood,2022
5.971691,5.092212,6,"contributions, parallel, computing, memory, performance, design",For foundational contributions to High Performance Computing and the application of HPC techniques to machine learning,Torsten Hoefler,2022
5.483336,2.0030897,1,"contributions, systems, wireless, internet, networks, distributed",For contributions to multimedia networking and network representation,Wenwu Zhu,2022
6.971983,7.457382,7,"contributions, learning, intelligence, artificial, mining, machine","For contributions to question answering, information retrieval, and natural language processing",Jimmy Lin,2022
9.030116,6.7069645,9,"contributions, vision, computer, graphics, geometry, robotics",For contributions to computer graphics and computer vision,Yizhou Yu,2022
5.0163183,1.3751183,1,"contributions, systems, wireless, internet, networks, distributed",For contributions to wireless networks and mobile computing,Yuguang Fang,2022
1.6188458,5.8165765,2,"contributions, software, programming, languages, verification, systems",For contributions to software testing and analysis,Zhendong Su,2022
4.828098,1.4671059,1,"contributions, systems, wireless, internet, networks, distributed",For contributions to ubiquitous computing and large-scale behavioral studies,Anind Dey,2021
6.9659104,4.8082447,5,"contributions, algorithms, theory, complexity, computational, design","For contributions to approximation algorithms, online algorithms, stochastic algorithms and metric embeddings",Anupam Gupta,2021
1.5458467,4.6075706,0,"security, contributions, privacy, cryptography, systems, internet","For contributions to verifying concurrent programs, probabilistic systems, security and database systems",Aravinda P Sistla,2021
2.3694675,6.486858,8,"human, contributions, interaction, computer, computing, design",For contributions to human values in the technical design process,Batya Friedman,2021
5.827815,5.941399,7,"contributions, learning, intelligence, artificial, mining, machine","For contributions to knowledge representation and reasoning, automatic planning, and their applications in robotics",Bernhard Nebel,2021
9.019666,7.1498404,9,"contributions, vision, computer, graphics, geometry, robotics","For contributions to large-scale object recognition, human detection, and pose estimation",Bernt Schiele,2021
1.4347014,4.6370277,5,"contributions, algorithms, theory, complexity, computational, design",For contributions to SMT solvers and network verification,Bjorner Nikolaj,2021
4.346243,1.6484866,1,"contributions, systems, wireless, internet, networks, distributed",For contributions to ultra-low power wireless sensing systems,Deepak Ganesan,2021
4.920981,4.930949,4,"contributions, database, data, management, systems, query",For contributions to query processing and optimization and to cloud database systems,Feifei Li,2021
6.199652,7.8844805,8,"human, contributions, interaction, computer, computing, design","For contributions to information retrieval, human-computer interaction, and computational health",Ryen W White,2021
4.71907,2.5496886,0,"security, contributions, privacy, cryptography, systems, internet",For contributions to microelectronics security and trust,Mark Tehranipoor,2021
8.752141,6.165078,9,"contributions, vision, computer, graphics, geometry, robotics","For contributions to geometry processing, mesh parameterization, and perception-driven shape analysis and modeling",Alla Sheffer,2021
7.048431,3.248464,0,"security, contributions, privacy, cryptography, systems, internet",For contributions to cryptography,Brent Waters,2021
2.31034,4.7698865,5,"contributions, algorithms, theory, complexity, computational, design",For contributions to proof theory and computational logic,Dale A Miller,2021
4.674666,1.5934975,8,"human, contributions, interaction, computer, computing, design",For contributions to mobile systems for behavioral sensing and health interventions,Tanzeem Choudhury,2021
6.7062416,6.4408298,7,"contributions, learning, intelligence, artificial, mining, machine",For contributions to machine learning algorithms and their applications,Tie-Yan Liu,2021
6.5170183,5.59284,7,"contributions, learning, intelligence, artificial, mining, machine",For contributions to scalable machine learning and healthcare,Edward Y Chang,2021
7.040818,4.9952316,5,"contributions, algorithms, theory, complexity, computational, design",For contributions to efficient algorithms for convex and nonconvex optimization,Elad Hazan,2021
6.0131974,5.2241507,7,"contributions, learning, intelligence, artificial, mining, machine",For contributions to theoretical computer science and inference,Elchanan Mossel,2021
5.181964,5.917561,7,"contributions, learning, intelligence, artificial, mining, machine","For contributions to the acquisition, representation, and dissemination of web-knowledge with applications to the medical domain",Evgeniy Gabrilovich,2021
6.2682943,4.877791,5,"contributions, algorithms, theory, complexity, computational, design",For contributions to database search and graph algorithms,Gautam Das,2021
5.8934064,2.6935215,1,"contributions, systems, wireless, internet, networks, distributed",For leadership in creating advanced research infrastructure including the first Internet interconnection point,Glenn Ricart,2021
3.843151,3.6263082,6,"contributions, parallel, computing, memory, performance, design",For contributions to neuromorphic computing and deep-learning acceleration,Hai Li,2021
4.321662,3.6968305,6,"contributions, parallel, computing, memory, performance, design","For contributions to the communication, concurrency and resource control in parallel systems",Hubertus Franke,2021
5.842599,8.02226,8,"human, contributions, interaction, computer, computing, design",For contributions to human-computer interaction and accessible computing,Jacob Otto Wobbrock,2021
7.466507,5.1207314,5,"contributions, algorithms, theory, complexity, computational, design",For contributions to algorithmic analysis of dynamical systems,Joel Ouaknine,2021
6.940994,3.2752721,0,"security, contributions, privacy, cryptography, systems, internet",For contributions to cryptographic protocol design and cryptography education,Jonathan Katz,2021
4.4701314,7.331664,3,"computer, contributions, acm, computing, science, years",For contributions to research and implementation in computer science education,Judith Gal-Ezer,2021
6.9569745,3.2531636,0,"security, contributions, privacy, cryptography, systems, internet",For contributions to making public-key cryptography useful in practice,Leonard M. Adleman,2021
3.0919027,2.8571525,6,"contributions, parallel, computing, memory, performance, design",For contributions in computer architecture performance analysis and modeling,Lieven Eeckhout,2021
5.228199,1.42046,1,"contributions, systems, wireless, internet, networks, distributed",For contributions to mobile and network systems,Lin Zhong,2021
